urlProducto;sizes;colors;base;areas;weight;MinQuantity;PriceBreaks
0001;XS#0|S#0|M#0|L#0|XL#0|XXL#0|XXXL#0;Black#000000#0;M|Black|Front|0;Front#0;0;0;0-9999999#0
0002;XS#0|S#0|M#0|L#0|XL#0|XXL#0|XXXL#0;Black#000000#0;M|Black|Front|0;Front#0;0;0;0-9999999#0
0003;XS#0|S#0|M#0|L#0|XL#0|XXL#0|XXXL#0;Black#000000#0;M|Black|Front|0;Front#0;0;0;0-9999999#0
0004;XS#0|S#0|M#0|L#0|XL#0|XXL#0|XXXL#0;Black#000000#0;M|Black|Front|0;Front#0;0;0;0-9999999#0
0005;XS#0|S#0|M#0|L#0|XL#0|XXL#0|XXXL#0;Black#000000#0;M|Black|Front|0;Front#0;0;0;0-9999999#0
0006;XS#0|S#0|M#0|L#0|XL#0|XXL#0|XXXL#0;Black#000000#0;M|Black|Front|0;Front#0;0;0;0-9999999#0
0007;XS#0|S#0|M#0|L#0|XL#0|XXL#0|XXXL#0;Black#000000#0;M|Black|Front|0;Front#0;0;0;0-9999999#0
0008;XS#0|S#0|M#0|L#0|XL#0|XXL#0|XXXL#0;Gray#bebfc1#0;M|Black|Front|0;Front#0;1;0;0-9999999#0
00010;XS#0|S#0|M#0|L#0|XL#0|XXL#0|XXXL#0;Gray#bebfc1#0;M|Black|Front|0;Front#0;1;0;0-9999999#0

22829-00008;XS#0|S#0|M#0|L#0|XL#0|XXL#0|XXXL#0;Navy#202A44#0;M|Navy|0;;1;0;0-999999#0
22829-00016;XS#0|S#0|M#0|L#0|XL#0|XXL#0|XXXL#0;Heather#9c9da4#0;M|Heather|Front|0;Front#0;1;0;0-999999#0
22829-00024;XS#0|S#0|M#0|L#0|XL#0|XXL#0|XXXL#0;Navy#202A44#0;M|Navy|0;;1;0;0-999999#0
22829-00032;XS#0|S#0|M#0|L#0|XL#0|XXL#0|XXXL#0;Black#000000#0;M|Black|Front|0;Front#0;0;0;0-999999#0
22829-00049;XS#0|S#0|M#0|L#0|XL#0|XXL#0|XXXL#0;Blue#4169e1#0;M|Blue|Front|0;Front#0;1;0;0-999999#0
22829-00057;XS#0|S#0|M#0|L#0|XL#0|XXL#0|XXXL#0;Blue#4169e1#0;M|Blue|Front|0;Front#0;0;0;0-999999#0
22829-00069;XS#0|S#0|M#0|L#0|XL#0|XXL#0|XXXL#0;Heather#9c9da4#0;M|Heather|Front|0;Front#0;0;0;0-999999#0
22829-00077;XS#0|S#0|M#0|L#0|XL#0|XXL#0|XXXL#0;Heather#364062#0;M|Heather|Front|0;Front#0;0;0;0-999999#0
22829-00189;XS#0|S#0|M#0|L#0|XL#0|XXL#0|XXXL#0;Charcoal#3C4142#0;M|Charcoal|Front|0;Front#0;0;0;0-999999#0
22829-00116;XS#0|S#0|M#0|L#0|XL#0|XXL#0|XXXL#0;White#ffffff#0;M|White|Front|0;Front#0;1;0;0-999999#0
22829-00192;XS#0|S#0|M#0|L#0|XL#0|XXL#0|XXXL#0;LightGrey#d3d3d3#0;M|LightGrey|Front|0;Front#0;0;0;0-999999#0

22829-00008-WomensZipUpJacket;XS#0|S#0|M#0|L#0|XL#0|2XL#0|3XL#0;Navy#202A44#0;M|Navy|0;;2;0;0-999999#0
22829-00016-HeatheredTShirt;XS#0|S#0|M#0|L#0|XL#0|2XL#0|3XL#0;Heather#9c9da4#0;M|Heather|0;;2;0;0-999999#0
22829-00024-MensZipUpJacket;XS#0|S#0|M#0|L#0|XL#0|2XL#0|3XL#0;Navy#202A44#0;M|Navy|0;;2;0;0-999999#0
22829-00033-MensAdidasPolo;XS#0|S#0|M#0|L#0|XL#0|2XL#0|3XL#0;Navy#202A44#0;M|Navy|0;;2;0;0-999999#0
22829-00068-FleeceSweater;XS#0|S#0|M#0|L#0|XL#0|2XL#0|3XL#0;Blue#4169e1#0;M|Blue|0;;2;0;0-999999#0
22829-00083-LongSleeveCrew;XS#0|S#0|M#0|L#0|XL#0|2XL#0|3XL#0;Blue#4169e1#0;M|Blue|0;;2;0;0-999999#0
22829-00087-StandardLongSleeve;XS#0|S#0|M#0|L#0|XL#0|2XL#0|3XL#0;Heather#9c9da4#0;M|Heather|0;;2;0;0-999999#0
22829-00096-NextLevelStandardTee;XS#0|S#0|M#0|L#0|XL#0|2XL#0|3XL#0;Heather#364062#0;M|Heather|0;;2;0;0-999999#0
22829-00144-Pinnies;XS#0|S#0|M#0|L#0|XL#0|2XL#0|3XL#0;White#ffffff#0;M|White|0;;2;0;0-999999#0
22829-00189-NikeLongSleeveTeeCharcoal;XS#0|S#0|M#0|L#0|XL#0|2XL#0|3XL#0;Charcoal#3C4142#0;M|Charcoal|0;;2;0;0-999999#0
22829-00192-NikeLongSleeveTeeLightGrey;XS#0|S#0|M#0|L#0|XL#0|2XL#0|3XL#0;LightGrey#d3d3d3#0;M|LightGrey|0;;2;0;0-999999#0

25810-00001;XS#0|S#0|M#0|L#0|XL#0|XXL#0|XXXL#0;Grey#bebfc1#0;M|Grey|Front|0;Front#0;1;0;0-9999999#0
25810-00042;XS#0|S#0|M#0|L#0|XL#0|XXL#0|XXXL#0;Black#000000#0;M|Black|Front|0;Front#0;0;0;0-9999999#0
25810-00043;XS#0|S#0|M#0|L#0|XL#0|XXL#0|XXXL#0;Black#000000#0;M|Black|Front|0;Front#0;0;0;0-9999999#0
25810-00044;XS#0|S#0|M#0|L#0|XL#0|XXL#0|XXXL#0;Black#000000#0;M|Black|Front|0;Front#0;0;0;0-9999999#0
25810-00045;XS#0|S#0|M#0|L#0|XL#0|XXL#0|XXXL#0;Black#000000#0;M|Black|Front|0;Front#0;0;0;0-9999999#0
25810-00046;XS#0|S#0|M#0|L#0|XL#0|XXL#0|XXXL#0;Black#000000#0;M|Black|Front|0;Front#0;0;0;0-9999999#0
25810-00047;XS#0|S#0|M#0|L#0|XL#0|XXL#0|XXXL#0;Black#000000#0;M|Black|Front|0;Front#0;0;0;0-9999999#0
25810-00048;XS#0|S#0|M#0|L#0|XL#0|XXL#0|XXXL#0;Black#000000#0;M|Black|Front|0;Front#0;0;0;0-9999999#0

25810-00047_PermissionedDataTShirt;XS#0|S#0|M#0|L#0|XL#0|XXL#0|XXXL#0;Black#000000#0;M|Black|Front|0;Front#0;0;0;0-9999999#0
25810-00048_PermissionedDataTShirt;XS#0|S#0|M#0|L#0|XL#0|XXL#0|XXXL#0;Black#000000#0;M|Black|Front|0;Front#0;0;0;0-9999999#0
25810-00042_PermissionedDataTShirt;XS#0|S#0|M#0|L#0|XL#0|XXL#0|XXXL#0;Black#000000#0;M|Black|Front|0;Front#0;0;0;0-9999999#0
25810-00043_PermissionedDataTShirt;XS#0|S#0|M#0|L#0|XL#0|XXL#0|XXXL#0;Black#000000#0;M|Black|Front|0;Front#0;0;0;0-9999999#0
25810-00044_PermissionedDataTShirt;XS#0|S#0|M#0|L#0|XL#0|XXL#0|XXXL#0;Black#000000#0;M|Black|Front|0;Front#0;0;0;0-9999999#0
25810-00045_PermissionedDataTShirt;XS#0|S#0|M#0|L#0|XL#0|XXL#0|XXXL#0;Black#000000#0;M|Black|Front|0;Front#0;0;0;0-9999999#0
25810-00046_PermissionedDataTShirt;XS#0|S#0|M#0|L#0|XL#0|XXL#0|XXXL#0;Black#000000#0;M|Black|Front|0;Front#0;0;0;0-9999999#0
25810-00001_PermissionedDataTShirt;XS#0|S#0|M#0|L#0|XL#0|XXL#0|XXXL#0;Grey#bebfc1#0;M|Grey|Front|0;Front#0;1;0;0-9999999#0
25810-00048-PermissionedDataTShirt;XS#0|S#0|M#0|L#0|XL#0|XXL#0|XXXL#0;Black#000000#0;M|Black|Front|0;Front#0;0;0;0-9999999#0
25810-00042-PermissionedDataTShirt;XS#0|S#0|M#0|L#0|XL#0|XXL#0|XXXL#0;Black#000000#0;M|Black|Front|0;Front#0;0;0;0-9999999#0
25810-00043-PermissionedDataTShirt;XS#0|S#0|M#0|L#0|XL#0|XXL#0|XXXL#0;Black#000000#0;M|Black|Front|0;Front#0;0;0;0-9999999#0
25810-00044-PermissionedDataTShirt;XS#0|S#0|M#0|L#0|XL#0|XXL#0|XXXL#0;Black#000000#0;M|Black|Front|0;Front#0;0;0;0-9999999#0
25810-00045-PermissionedDataTShirt;XS#0|S#0|M#0|L#0|XL#0|XXL#0|XXXL#0;Black#000000#0;M|Black|Front|0;Front#0;0;0;0-9999999#0
25810-00046-PermissionedDataTShirt;XS#0|S#0|M#0|L#0|XL#0|XXL#0|XXXL#0;Black#000000#0;M|Black|Front|0;Front#0;0;0;0-9999999#0
25810-00047-PermissionedDataTShirt;XS#0|S#0|M#0|L#0|XL#0|2XL#0|3XL#0;Black#000000#0;M|Black|Front|0;Front#0;0;0;0-9999999#0
